MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
3.1911,0.039677,8.5043,0.23688,0.44245,99,0.22902
10.678,1.9751,0.36818,0.040121,6.8921,100,0.42087
7.2302,1.0566,4.8034,0.97746,31.511,101,0.39703
4.9938,0.81604,0.10234,0.00037466,0.00096859,102,0.26005
6.9085,1.2033,0.51735,0.13949,1.0262e-10,103,0.42042
6.8109,0.28287,1.2179,0.081594,3557.9,104,0.40231
3.9875,0.10543,0.10537,0.0003633,285140.0,105,0.37414
22.703,1.0704,0.12589,0.0042009,1.2847e-07,106,0.21622
5.9395,0.69932,0.51978,0.16953,2.6529,107,0.40934
6.8371,1.7163,4.1623,0.29741,1.4537,108,0.36455
5.3953,0.020941,0.86879,0.54914,0.26709,109,0.37495
10.211,1.6553,1.0055,0.17805,6619600000.0,110,0.45099
12.769,0.26668,0.74313,0.17685,1.1417e-06,111,0.38795
12.874,2.5453,0.25059,0.0025762,0.62737,112,0.36835
28.625,0.33249,2.8714,0.0062249,0.49264,113,0.34149
5.1758,0.50523,2.2592,0.17973,0.28861,114,0.39672
10.209,2.3077,0.49636,0.026547,1.2652,115,0.43431
7.2856,0.37593,1.9637,0.92675,2.3553e-05,116,0.38496
10.083,2.6206,0.35092,0.13206,0.024884,117,0.3518
4.5779,0.13648,1.4001,0.22926,1714900.0,118,0.39916
3.887,0.3132,0.25129,0.035801,3.9473e-07,119,0.336
15.449,0.12347,0.36519,0.085374,0.0026571,120,0.34907
8.0635,1.9514,0.68319,0.26479,0.24513,121,0.44225
4.4079,0.54581,0.18818,0.013377,0.95662,122,0.32496
3.8876,0.25005,0.28731,0.080128,8.9505e-06,123,0.32794
6.65,0.85239,7.7231,0.27006,0.65381,124,0.29103
27.885,0.34981,0.27299,0.0051622,1.3508e-10,125,0.31608
14.143,2.7337,0.11272,0.0029262,3.775,126,0.26864
3.1973,0.067514,3.8931,0.8585,4567400.0,127,0.36355
8.8577,2.7849,0.36831,0.021019,0.067432,128,0.3629
28.277,0.18722,1.0322,0.20282,368980000.0,129,0.39201
13.125,0.026665,3.3216,0.74584,0.44411,130,0.33638
